QuestionID,Difficulty,Question,Answer
SBE001,Easy,So tell me what exactly is Spring Boot and why people prefer it,Spring Boot is built on top of Spring and it makes application development faster by reducing configuration and setup work
SBE002,Easy,Before Spring Boot what problem developers were facing,They had to write lot of configuration and setup manually which was time consuming
SBE003,Easy,What does auto configuration mean in Spring Boot,Auto configuration means Spring Boot automatically configures things based on libraries present in project
SBE004,Easy,What is starter dependency in Spring Boot,Starter is a group of dependencies that we add to get everything needed for a feature
SBE005,Easy,Why people say Spring Boot reduces boilerplate code,Because it provides default configuration and embedded server and simple setup
SBE006,Easy,What is embedded server in Spring Boot,Embedded server means Tomcat or similar server comes inside application and we do not need to deploy separately
SBE007,Easy,How do you usually run Spring Boot application,We run it using main method or using mvn spring boot run
SBE008,Easy,What is application properties file used for,It is used to write configuration like port number and database details
SBE009,Easy,What is difference between Spring and Spring Boot,Spring Boot removes manual configuration and makes Spring easier to use
SBE010,Easy,What is @SpringBootApplication annotation,It is a combination of configuration component scan and auto configuration
SBE011,Easy,Why Spring Boot is good for microservices,Because it is lightweight easy to start and has embedded server
SBE012,Easy,What is actuator in Spring Boot,Actuator provides endpoints to monitor and manage application
SBE013,Easy,What is default port of Spring Boot application,Default port is 8080
SBE014,Easy,How do you change port in Spring Boot,We change it in application properties file
SBE015,Easy,What is fat jar in Spring Boot,Fat jar is a jar file that contains application code and all dependencies and server

SBE016,Easy,Explain this code @SpringBootApplication public class App { public static void main(String[] args){ SpringApplication.run(App.class args); } },This code starts Spring Boot application and creates Spring container
SBE017,Easy,What will happen if you run this main method,Application will start and embedded server will also start
SBE018,Easy,Explain this code @RestController public class Test { @GetMapping(hello) public String test(){ return hi; } },This will create a REST endpoint and when we open hello in browser it will return hi
SBE019,Easy,What will happen in this code server.port=9090 in application properties,Application will start on port 9090 instead of 8080
SBE020,Easy,Explain this code @SpringBootApplication @ComponentScan(basePackages=com.app),Spring Boot will scan only this package for components
SBE021,Easy,What will this code do @SpringBootApplication(exclude=DataSourceAutoConfiguration.class),It will disable database auto configuration
SBE022,Easy,Explain this code SpringApplication.run(App.class args),It will bootstrap the application and start Spring context
SBE023,Easy,What will happen if application properties file is missing,Application will still start using default values
SBE024,Easy,Explain this code @Value(${server.port}) private int port,Spring will inject port value from properties file into this variable
SBE025,Easy,What will happen if two controllers have same URL mapping,Application will fail at startup because of ambiguous mapping


SBM001,Medium,In real projects how do you manage different environments like dev and prod in Spring Boot,We use profiles and different properties files so each environment can have its own configuration
